date,stage,message
2003-06-24,unexpected,"Key '_FillValue' already exists in attrs on variable 'precipitation', and will not be overwritten. This is probably an encoding field used by xarray to describe how a variable is serialized. To proceed, remove this key from the variable's attributes manually."
2003-06-25,unexpected,"Key '_FillValue' already exists in attrs on variable 'precipitation', and will not be overwritten. This is probably an encoding field used by xarray to describe how a variable is serialized. To proceed, remove this key from the variable's attributes manually."
2003-06-26,unexpected,"Key '_FillValue' already exists in attrs on variable 'precipitation', and will not be overwritten. This is probably an encoding field used by xarray to describe how a variable is serialized. To proceed, remove this key from the variable's attributes manually."
2003-06-27,unexpected,"Key '_FillValue' already exists in attrs on variable 'precipitation', and will not be overwritten. This is probably an encoding field used by xarray to describe how a variable is serialized. To proceed, remove this key from the variable's attributes manually."
2003-06-28,unexpected,"Key '_FillValue' already exists in attrs on variable 'precipitation', and will not be overwritten. This is probably an encoding field used by xarray to describe how a variable is serialized. To proceed, remove this key from the variable's attributes manually."
2003-06-29,unexpected,"Key '_FillValue' already exists in attrs on variable 'precipitation', and will not be overwritten. This is probably an encoding field used by xarray to describe how a variable is serialized. To proceed, remove this key from the variable's attributes manually."
2003-06-30,unexpected,"Key '_FillValue' already exists in attrs on variable 'precipitation', and will not be overwritten. This is probably an encoding field used by xarray to describe how a variable is serialized. To proceed, remove this key from the variable's attributes manually."
2003-07-01,unexpected,"Key '_FillValue' already exists in attrs on variable 'precipitation', and will not be overwritten. This is probably an encoding field used by xarray to describe how a variable is serialized. To proceed, remove this key from the variable's attributes manually."
2003-07-02,unexpected,"Key '_FillValue' already exists in attrs on variable 'precipitation', and will not be overwritten. This is probably an encoding field used by xarray to describe how a variable is serialized. To proceed, remove this key from the variable's attributes manually."
2003-07-03,unexpected,"Key '_FillValue' already exists in attrs on variable 'precipitation', and will not be overwritten. This is probably an encoding field used by xarray to describe how a variable is serialized. To proceed, remove this key from the variable's attributes manually."
2003-07-04,unexpected,"Key '_FillValue' already exists in attrs on variable 'precipitation', and will not be overwritten. This is probably an encoding field used by xarray to describe how a variable is serialized. To proceed, remove this key from the variable's attributes manually."
2003-07-05,unexpected,"Key '_FillValue' already exists in attrs on variable 'precipitation', and will not be overwritten. This is probably an encoding field used by xarray to describe how a variable is serialized. To proceed, remove this key from the variable's attributes manually."
2003-07-06,unexpected,"Key '_FillValue' already exists in attrs on variable 'precipitation', and will not be overwritten. This is probably an encoding field used by xarray to describe how a variable is serialized. To proceed, remove this key from the variable's attributes manually."
2003-07-07,unexpected,"Key '_FillValue' already exists in attrs on variable 'precipitation', and will not be overwritten. This is probably an encoding field used by xarray to describe how a variable is serialized. To proceed, remove this key from the variable's attributes manually."
2003-07-08,unexpected,"Key '_FillValue' already exists in attrs on variable 'precipitation', and will not be overwritten. This is probably an encoding field used by xarray to describe how a variable is serialized. To proceed, remove this key from the variable's attributes manually."
2003-07-09,unexpected,"Key '_FillValue' already exists in attrs on variable 'precipitation', and will not be overwritten. This is probably an encoding field used by xarray to describe how a variable is serialized. To proceed, remove this key from the variable's attributes manually."
2003-07-10,unexpected,"Key '_FillValue' already exists in attrs on variable 'precipitation', and will not be overwritten. This is probably an encoding field used by xarray to describe how a variable is serialized. To proceed, remove this key from the variable's attributes manually."
